title	published_date	bib_text	origin_id	document_number	location_id	archive_number	comments	public_url	pdf_url	author	category
HIS-645 Device Driver & Systems Programmer's Manual 	09/01/73		Reference Manual	GER-15899	JWB		Driver allows Multics files in the HIS-645 computer to be read & written by a STARAN program. Allows HIS-645 to control STARAN			Johnnie W. Baker	Published Manual
MULTICS/STARAN Device Interface Module; (DIM) System Programmers Manual	09/01/73		Reference Manual	GER-15900	JWB		This document describes the function of the Multics-resident STARAN device interface module (staran_dim)			Johnnie W. Baker	
MULTICS/STARAN FILE CONTROL PROCEDURE -	09/01/73		Reference Manual	GER-15902	JWB		This report gives the file control procedures required to enable a Multics user process to interface with a STARAN			Johnnie W. Baker	Published Manual
Applications of STARAN to Fast Fourier Transform	05/01/74		Goodyear or Loral research documents	GER_16109	JWB		The FFT is a basic operation in digital signal processing used in real-time processing of radar & sonic signals. 			Johnnie W. Baker	Published Manual
SACWARDANS ASSOCIATIVE PROCESSOR STUDY	07/01/74		Goodyear or Loral research documents		JWB		SACWARDANS is a new system to support real-time reporting of world-wide events. Incoming data must be correlated with. This report compares the ability of STARAN with 2 other systems to perform this real-time task historic data to maintain in near-real time an accurate & detailed picture of what is going on in the world & its effect on SAC forces. SACWARDANS means "Stragetic Air Command Warning Analysis System 			Johnnie W. Baker	PRC/Information Science Co. 
The Feasibility of using Associative Processors in Change Detection	05/01/74		Goodyear or Loral research documents	Final Report	JWB		One of the major problems in Change Detection is the alignment of the ollateraland reference images (i.e., image registration). Here the ability of the associative processor to handle change detection is studied. Special attention is given to the processes of correlation, warp, correction, photo normalization, and subtraction. General algorithms are developed & timings obtained 			Johnnie W. Baker	Final Report -Syracuse Univ. 
Signal and Information Processing System for Oth Radar	08/01/74		Goodyear or Loral research documents	GAP-74-6941	JWB		Proposal for GE's request for a combined signal processing system (SPS) and information processing system (IPS) involving STARAN			Johnnie W. Baker	Goodyear Proposal to GE
OHR Automatic Dection & Tracking by STARAN	05/01/75		Goodyear or Loral research documents	GAP 75-7045	JWB		Proposal to Rome Air Development Center to allow the Air Force to determine the potential of STARAN in meeting the needs of a large volume OHR automatic detection and tracking 			Johnnie W. Baker	Goodyear Proposal 
STARAN: An Associative Approach to Multiprocessor Architecture	06/01/75		Goodyear or Loral research documents	AP-122279	JWB		This 44 page report was presented at the Infotech Multiprocessor Conference in London England, May 6-8, 1975			Will Meilander	Conference Presentation 
STARAN Loader, Systems Programmer's Manual	08/01/75		Reference Manual	GER-15895A	JWB		This report describes the STARAN loader (STLDR). Primarily involves the loader called from the STARAN CONTROL MODULE (SCM). Oper. More Details are given in the STARAN User's Guide GER-15644 			Johnnie W. Baker	Published Manual 
STARAN Fast Load Preprocessor System Programmer's Manual	02/01/76		Reference Manual	GER-16258	JWB		Describes the Fast Load Preprocessor (FLDPP). More details are given in the STARAN User's Guide, GER-15644C			Johnnie W. Baker	Published Manual
STARAN System Familiarization 	03/01/76		Reference Manual	GER-16312	JWB		Document provides an overview of the STARAN Special Purpose Processor (SPP) system. Also discuss the NASA LACIE program			Johnnie W. Baker	Published Manual
Host Interface Simulator (HIS)	04/01/76		Reference Manual	GER-16298	JWB		HIS transfers data from the PDP-11 control PE disk to the SPP program buffers and writes data from the SPP output buffers to the PDP-11			Johnnie W. Baker	Published Manual
The STARAN E System - and Overview	09/01/76		Reference Manual	AP_123226	JWB		Describes the basic STARAN-E parallel Processor System			Johnnie W. Baker	Published Manual
STARAN Image Processing: Implementation of 4 Preprocessing Techniques 	06/01/77		Goodyear or Loral research documents		JWB		Several preprocessing algorithms for edge detection were developedom Goodyear STARAN at Fort Belvoir, VA. In this 120 page report, the results of this work show very clearly significant time could be saved using the STARAN system report, the results of this work show very clearly significant time could be saved using the STARAN system. Report N. 47			Dr. -Ing. F. Rocker; Johnnie W. Baker 	Report
STARAN/CDC 6400 Interface User's Guide	07/01/76		Reference Manual	GER-16352	JWB		Describes the philosophy and operation of the STARAN/CDC 6400 Interface Software			Johnnie W. Baker	Published Manual
System Description - STARAN - … A new Class of Computer 	undated		Goodyear or Loral research documents		JWB		Provides a detailed overview of STARAN. Excellent pictures of STARAN, but some copied pages are dark and unclear			Johnnie W. Baker	Detailed Advertising Pamplet
Description of STARAN (Model B and Model E)	undated				JWB					Johnnie W. Baker	Short summary
STARAN-E Reference Manual	11/01/77		Reference Manual	GER-16422	JWB		Intended for a programmer in the use of the APPLE assembly language on the STARAN			Johnnie W. Baker	Published Manual
STARAN-E Programming Manual	11/01/77		Reference Manual	GER-16423	JWB		Intended for the experienced programmer who is familiar with the Reference Manual in use of the APPLE assembly language			Johnnie W. Baker	Published Manual
STARAN -E Users Guide	11/01/77		Reference Manual	GER-16424	JWB		Intended for the operator or programmer who intends to use the STARAN E 			Johnnie W. Baker	Published Manual
STARAN E Apple Execution Times 	11/01/78		Reference Manual	GER-16615	JWB		This report documents the execution times achieved on the STARAN E for APPLE mnemonics. 			Johnnie W. Baker	Short Technical Report
STARAN E Maintenance Manual	05/01/79		Reference Manual	GER-16527	JWB		A detailed 200-300 page manual that provides detailed descriptions and diagrams of different parts of the STARAN and the PDP-11 interface to the STARAN. Details with pictures and diagrams show how various parts are interconnected and how they work. 			Johnnie W. Baker	Published Manual
Image Processing on STARAN	07/01/79		Goodyear or Loral research documents	GER-16666	JWB		This GER was prepared to be printed as a chapter in "Image Processing Computers", which is one volume in the "Topics in Current Physics" series being published by Springer-Verlag, Heidelberg Germany. However, never published. 			J. L. Potter; D. L. Rohrbacker	Book Chapter
STARAN Linker: System Programmer's Manual - Preliminary Version	After 1990		Kent State University Research		JWB		Report describes the STARAN linker (ALINK). This linker is part of a project supervised by Dr. Jerry Potter at Kent State University. Includes in addition to the STARAN linker, an assembler and loader. The complete package will assemble and link APPLE object 			Nickolas Kotran	
STARAN-E Associative Processor Users Guideline			Kent State University Research		JWB		14 stapled page guide to executing programs on our STARAN, after John Mikalakes replaced its front end (or control processor) with a PDP-11 Includes the use of the STARAN-E software, including the APPLE assembler, STARAN-E linker, STARAN-E DEBUG module and an example.  			Johnnie W. Baker	Kent State Math & CS Dept 
ASPRO Programming Reference Manual	10/01/82		Reference Manual	GER 16809 	JWB Home 		For Grumman Aerospace Corp. Purchase Order 15-12967 and the E-2C High Speed Processor Development Program. Large (~150-200 pages) & bound in 3 ring notebook. Probably given to JWB for use in programming ASPRO emulator.			Johnnie W. Baker	Published Manual 
Support Software Users Guide	08/01/82		Reference Manual	GER 16846	JWB Home 		Covers the ASPRO assember (ASM), ASPRO Compool Processor (ASM), ASPRO Librarian (ALB), ASPRO Linker (AKL), ASPRO Master Set/ ASPRO Used Utility (ASU), and the ASPRO Debugger (ADB) 			Johnnie W. Baker	Published Manual 
ASPRO Debugger, RSX Version, Users Guide	02/01/87		Reference Manual	Ger 16891	JWB Lab		Describes how to use the ASPRO debugger (RSX version) and is a combination manual for the ADB and EDB Debugger *			Johnnie W. Baker	Published Manual 
ASPRO Associative Processor System Software	06/04/84		Reference Manual	GER 16866	JWB Home 		Short summary for different system software & flowchart; 9 pages			Johnnie W. Baker	Published Manual 
Functional Description of ASPRO: The High Speed Assoc Proc	07/16/84		Reference Manual	GER 16868	JWB Home 		Covers Arrays, ASPRO Control, Register/Arithmetic, Program Execution, Power Module, and Interfaces -- 33 pgs			Johnnie W. Baker	Published Manual 
ASPRO EMULATOR (VAE) USER'S GUIDE	02/01/85		Reference Manual	GER 17267	JWB Home 		Describes the procedures and commands used to run the ASPRO Emulator Program. Developed for Grumman Aerospace			Johnnie W. Baker	Published Manual 
Aspro Technical Introduction (2 copies)	12/15/83		Reference Manual	TM-308	JWB Home 		Very informative document of 41 pages. Detailed overview of ASPRO and multiple possible applications			Johnnie W. Baker	Technical Memorandum
ASPRO Translator (ASTR) Language Translator (ASTR) 	10/09/80		Reference Manual		JWB Home 		Language Commands and Descriptions; Details about ASPRO language & Usage; 108 pages			Johnnie W. Baker	Text File, Bound like manual
PREPP Language Specification for Real-Time Applications	08/01/87		Reference Manual		JWB Home 		Aspro Suitability for Real-Time Expert Systems Demostration and Expert Systems Development Tools; 23 stapled pages			Johnnie W. Baker	
Parallel Processor Real-Time Expert Systems			Goodyear or Loral research documents		JWB Home 		Very Informatiive regarding use of ASPRO as a military real-time system with critical deadlines - 17 pages staped together			Johnnie W. Baker	Slides for Presentation
Two Slides explaining MDA memory (STARAN & ASPRO)			Goodyear or Loral research documents		JWB Home 		Illustrates two basic aspects of the MDA memory			Johnnie W. Baker	Slide Show Presentation
ASP-VMS Handbook (ASP language for ASPRO Emulator)			Kent State University Research		JWB Home 		A handbook for using a compiler created by John Mikalakes for Jerry Potter's ASP language on the APRO Emulator. ASP is a high level C-like language that allows users to program in ASP rather than assembler. This compiler was generated using a commercial compiler generation software, which was also used in teaching the compiler class. This compiler was used in JWB's parallel programming class and by students working on thesis, projects, etc. 			John Mikalakes	KSU CS thesis or project
ASPRO Floating Point Programming Manual	10/01/85		Reference Manual	GER 16810	JWB Office		Supplement to the ASPRO Programming Manual			Johnnie W. Baker	Published Manual
ASPRO Packet of Applications and Information Brochures			Goodyear or Loral research documents				Professionally prepared flyers for advertising ASPRO capabilities. Probably handed out at professional conferences for military Contractors, etc. Also, some copy of a newsletter that Goodyear/Loral published that reported on advances & achievements of ASPRO. Topics include Super Tracker, ASPR0-VME Image Processing, Aspro Software, Support of Expert Systems, Correlation & Tracking 			Johnnie W. Baker	Short Summaries
Second ASPRO packet of Multiple Short Brochures							Extra Copies of some of the items in A14-1			Johnnie W. Baker	
The ASPRO-VME Associative Processor and Applications	Unknown		Reference Manual	?	JWB Home 		A bound booklet of 45 pages intended for potential customers with information about architecture, software, ADA programming, hardware and applications. 2nd Copy print reducedin size & 2 pages copied on one legal size page. Used 2nd copy to repair some 8x11 size pages of first copy which were missing parts of print. Also one page of first copy missing. Name of booklet missing on both. Name used here is one I created, as original title unknown. 			Johnnie W. Baker	
ASPRO-VME Ada Vectors (Version 1.1)	Mar.9,1992		Reference Manual	ER3418-1			Published by LORAL Defense Systems - Akron			Johnnie W. Baker	Loral Published Manual
ASPRO-VME Parallel/Associative Computer			Reference Manual				Gives a short technical overview in 46 pages, including a sample program. No date or document number given			Johnnie W. Baker	Loral Technical Overview
ASPRO Associative Processor System Software	06/01/84		Reference Manual	GER 16866			Short (9 pg) explanation of different software packages for ASPRO and how they can be used to develop application programs			Johnnie W. Baker	Goodyear Short Manual
ASPRO Support Software VAX-VMS Version Users Guide	09/01/86		Reference Manual	GER 16875			Software Documentation (Users Guide for Support Software, VAX-VMS Version 			Johnnie W. Baker	Goodyear Manual
ASPRO-VME Hardware/Architecture	06/01/92		Reference Manual	ER3418-5			Detailed document with lots of information about assembler commands and register actions, 			Johnnie W. Baker	Loral Manual
General Description of the MPP	04/01/83		Reference Manual	GER 17140	JWB Home 					Johnnie W. Baker	Published Manual
Recommend for NASA Research & Develop in AI	04/01/83		Goodyear or Loral research documents		JWB Home 		Report prepared for NASA/Goddard Space Flight Center by SRI International			Johnnie W. Baker	NASA Report
